epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,val_f1,test_f1,seconds
1,0.6388035632499576,0.6459085439229844,0.6547031027547429,0.6713483146067416,0.6516427730025951,0.6760168302945302,0.33522727272727276,0.33810888252148996,7.739274978637695
2,0.5326238062981378,0.7355595667870036,0.5305297702885745,0.7429775280898876,0.5313050996872687,0.7279102384291725,0.5887640449438202,0.5688888888888889,7.662381172180176
3,0.437036804487272,0.7921179302045728,0.5470549042305249,0.7359550561797753,0.5564918352126407,0.7054698457223001,0.678082191780822,0.6391752577319587,7.589578628540039
4,0.36718354575900825,0.8393501805054152,0.6057388152969018,0.7457865168539326,0.5987817028963215,0.7447405329593267,0.6221294363256786,0.6208333333333332,7.811685085296631
5,0.2951577744042113,0.8766546329723225,0.7628325009613894,0.7457865168539326,0.7897077053158347,0.7251051893408135,0.6189473684210527,0.5983606557377049,7.728850603103638
